-0.000815506-0.0148843j 0.00348331+0.018889j 0.00394416+0.0206884j 0.000679054+0.0242667j -0.0030654-0.0121297j -0.00576728-0.0296904j -0.000987269+0.0393558j 0.00357225+0.0141976j 0.00180601-0.00969902j 0.00552956+0.0247136j 0.0079036-0.0404365j 0.00251191-0.0127444j 0.00076426-0.0294461j 0.0133483+0.0439791j 0.00266202-0.00564333j -0.00923972-0.00712922j 0.0037412+0.00712819j -0.00574204-0.0391777j -0.00689856+0.0176245j 0.000993712-0.00357214j -0.00585942-0.027781j -0.0145231-0.0369313j -0.00121262+0.0141214j 0.00558541-0.000788761j 0.0069213+0.00897634j 0.00209019+0.00221533j 0.00237816+0.0310119j 0.00439567+0.0135053j -0.00647767-0.00639852j -0.000696089+0.0108031j -0.000667014+0.0215252j 0.00182901-0.00192723j 0.00589017+0.00235237j -0.00174848-0.0103604j -0.0234071+0.0076655j 0.0254166-0.0017652j -0.0123404-0.0279237j 0.00368302+0.00232161j 0.00150015-0.0176403j 0.00387793+0.00141289j 0.00179394+0.0360438j 0.0102655+0.0205281j 0.00494573-0.0403193j 0.00826167-0.0133392j 0.00464182-0.0201827j 0.00677037+0.0503416j 0.00628113+0.0279098j 0.00327353-0.057578j -0.00119516-0.0112781j -0.0207406-0.039878j -0.0127144+0.000476448j -0.0169016+0.00172576j -0.0135372+0.018745j 0.0156596+0.0749324j -8.86109e-05+0.0569893j 0.0571592+0.203793j 0.0646539-0.132214j 0.00313281-0.274516j 0.111594+0.181295j 0.0570621-0.162076j -0.0436169-0.202281j -0.0120155-0.03869j -0.0396997+0.0051808j 0.0218117+0.0648769j -0.00701101+0.0531954j 0.0214893-0.000689744j 0.00575944-0.0127301j 0.0061043+0.0132937j -0.00516586-0.433878j 
0.00447628-0.0276231j 0.01099+0.019089j 0.0455851-0.00951244j 0.000384519+0.042579j 0.0202976+0.0326337j -0.0261143+0.00773492j -0.000209873-0.0560351j -0.00724565+0.0268325j 0.0235025+0.030735j 0.05563+0.154819j -0.112392-0.0988901j 0.00834231+0.067494j 0.00251946+0.0336363j -0.0184754+0.0561942j 0.0958936+0.0273262j -0.0382775-0.116164j -0.00532048+0.0726942j -0.0882235-0.0619487j 0.104833+0.0573869j -0.105314+0.0328123j 0.00452861-0.106402j 0.172434+0.0718863j -0.0225056+0.125383j 0.0522807-0.0426921j -0.0797577-0.102931j 0.0644363+0.0421726j 0.128329-0.132561j -0.0443163+0.216609j -0.0157359+0.044403j 0.040557+0.0981276j -0.0333817-0.113775j 0.0432017+0.0283952j 0.0428806-0.0419495j 0.0747077-0.0336766j -0.0456093-0.00158297j 0.0332467-0.0120714j 0.0673221-0.0337089j 0.031672+0.0386793j 0.0272316+0.0305043j 0.0190274+0.00881217j 0.0317156-0.0336112j -0.0345226+0.0238873j -0.0171482+0.0141549j 0.0116381+0.0102568j -0.0413205+0.0611465j -0.0414447+0.0253261j 0.0142267-0.00319858j -0.0077073+0.0308516j -0.0199668+0.0181224j -0.00339958-0.0176375j 0.0318942-0.030245j -0.00981479-0.00267255j -0.0243641+0.017523j 0.0247596-0.00948763j -0.00231616-0.0199426j -0.0071029-0.00944773j -0.0105398+0.0240532j 0.000688604-0.0147468j -0.0116164-0.00834291j 0.00173047-0.0383737j -0.0353903+0.0525282j 0.00769845+0.00441629j 0.0180402-0.00746775j 0.017918-0.0108938j -0.00726622+0.0307191j -0.0112667+0.00586307j 0.0179392-0.00607732j 0.00854315-0.00745455j 0.00342077-0.01077j 
-0.00371896+0.0454071j -0.012077-0.0184899j 0.0279441+0.0213138j -0.0548993-0.00749933j 0.0200549+0.0290056j 0.0558765-0.0671003j 0.0291914+0.0142762j 0.0379217-0.00717275j 0.0646453+0.197344j 0.0656804-0.0625989j 0.031138-0.00198921j -0.0292344-0.0605523j -0.0359774-0.0360188j 0.0725569-0.105954j -0.0482822+0.021088j -0.0314573-0.0130798j -0.0714415+0.021604j -0.029833-0.0329029j 0.0718651+0.0195209j -0.216523+0.0142989j -0.0428427+0.0554669j 0.0500149+0.117926j -0.142652-0.037389j -0.0997938+0.128379j -0.0012509+0.0209232j 0.0386381+0.129423j -0.0200177+0.0929182j 0.0405862+0.00415859j 0.0519895-0.150819j 0.0552277+0.139224j 0.0301279+0.034939j -0.00336036-0.0579391j -0.00559887+0.0682767j 0.0837253+0.00209789j -0.0694436-0.0195596j 0.0113802+0.0881988j 0.00551035+0.0378205j 0.0718828-0.0913975j 0.0067612-0.041884j 0.0347454+0.0207442j -0.0196963-0.0119082j -0.0379548-0.0357959j -0.0235958+0.0690493j -0.0239026-0.0446444j 0.0276698-0.0806264j 0.00452217-0.0419022j -0.0127999+0.0321415j -0.00632713+0.0374978j -0.00289048-0.00979313j -0.00914784+0.0387715j -0.00590149+0.00583966j -0.00786083-0.0160358j -0.00029967-0.0106288j 0.0232487-0.00978863j 0.00146819+0.0136791j 0.0106476-0.00530695j -0.0134678-0.0146237j 0.00570389+0.00469795j -0.00659475+0.0246476j 0.0219834-0.0180867j -0.0306794-0.0189629j 0.0270521+0.00291726j 0.0166508-0.0386069j 0.00914281-0.00141008j -0.0256579+0.00921036j -0.0161422+0.0212188j -0.00401925-0.00180963j 0.000638098-9.69753e-05j 0.00234186+0.00732415j 
0.0109952+0.0258782j -0.0171118+0.000599219j -0.0394935-0.0335747j 0.0273541+0.0866303j 0.0189855-0.0121309j -0.0363701-0.0502811j -0.0891833+0.0170673j -0.000404921-0.191501j -0.0960855+0.117408j -0.0226302+0.0940619j 0.0572459-0.0474773j 0.0516069-0.00802696j -0.0328976+0.0147539j -0.105057-0.0104642j 0.14336-0.00652687j -0.0985972+0.0131964j 0.116982+0.0199445j -0.0898239+0.0373999j -0.189214+0.021913j 0.134919+0.104599j -0.0067075+0.033027j -0.0744849+0.0790636j 0.0187288+0.0817539j -0.0056227+0.204513j 0.0143474+0.0123762j 0.0282988-0.129743j 0.046457-0.0650087j -0.0394727-0.0247911j 0.0431319-0.242661j -0.0205197+0.0119886j 0.0579286-0.0545759j -0.075951+0.0340721j -0.000760641+0.00332759j 0.0136803-0.0693031j -0.0371112+0.0511236j 0.0175147-0.00494766j -0.0264594+0.014008j -0.0447735+0.0226954j -0.0180219+0.0345709j -0.0199994-0.0283739j -0.00131273-0.0179062j 0.0286884+0.0288709j -0.00686226-0.0222038j 0.000695665+0.04091j -0.0305735+0.0266557j -0.000510845+0.0383054j 0.0112604-0.0142011j -0.000473867-0.0110946j -0.0144314+0.00699307j 0.0185668-0.0386643j -0.0178011+0.0322773j 0.0073614+0.0460286j 0.000410712-0.0215493j -0.00101812-0.00379035j -0.0198656+0.0118673j 0.00678558-0.0505202j -0.00550438+0.0109142j -0.000905802+0.00528461j 0.00297165+0.0379753j -0.00450974-0.0294043j 0.0377202+0.0344977j -0.0198629-0.00570213j -0.017516-0.0353736j -0.0143768-0.0193106j 0.0127893+0.00237888j 0.00981167+0.0113297j -0.00264818+0.0137936j -0.0121244+0.000226163j 0.00460997+0.00594026j 
-0.0155155-0.00676235j -0.0122547-0.00414831j 0.0559083+0.172271j 0.0933713-0.0378873j -0.0198896+0.028566j 0.0579619-0.0105654j 0.00421618-0.0310525j -0.153722-0.0333612j -0.0174408+0.0528271j 0.0706976+6.21003e-05j -0.0789591-0.0104716j 0.0454776-0.0320945j 0.0358413-0.009104j 0.0142227+0.0303996j 0.339963-0.0193529j 0.128543+0.0833283j -0.000563606-0.047807j 0.0798091+0.0567695j -0.152147+0.0534222j -0.194804-0.0771449j 0.203233+0.0452393j 0.0341145+0.035048j 0.0921221+0.0140702j 0.131598+0.0370393j -0.00669302+0.019112j -0.0703361-0.00607762j 0.00470014+0.0100033j 0.0854309+0.00675062j 0.0442776-0.0172476j -0.00910533+0.0365827j -0.0257362-0.0112202j 0.0378657+0.0320658j 0.0449169+0.012096j -0.0169679+0.0193949j -0.00299237+0.00585343j -0.015808+0.0291114j -0.0343797+0.0217451j -0.0102548+0.00152643j 0.0476444+0.0114408j 0.0457436+0.016632j -0.0187319-0.000272247j 0.00655606-0.0205123j 0.0365943+0.00481972j 0.00644887+0.00249205j -0.00661728-0.0111645j 0.0200832-0.00896822j -0.0266106-0.00675287j -0.000851971+0.00240283j 0.0315725+0.00914985j -0.0159775-0.00846081j 0.026803+0.0223454j -0.0486217-0.0138473j -0.0054549-0.0106704j 0.0184298+0.0113467j -0.0158656+0.00715665j 0.0123025-0.00326432j 0.0305831-0.00428128j -0.00159394+0.00485877j -0.0192703-0.0116892j -0.000925924+0.00764205j 0.0136534-0.0373152j 0.0185131+0.0232022j 0.0112101+0.017703j -0.00812649+0.0140089j 0.0128358-0.0199241j 0.00700054-0.0127699j -0.0144264+0.00058269j -0.000379344+0.0154538j -0.0179622-0.0014881j 
0.00559147-0.00359734j -0.0103606-0.0303753j -0.0457055+0.0473579j 0.0234124+0.127138j 0.0764223-0.0263615j -0.033783+0.0251827j -0.0883009+0.0786182j -0.0127277+0.156732j -0.0680352-0.0486787j -0.0260469-0.0449578j 0.00910269+0.0568371j 0.116879+0.00453618j 0.0220266-0.0238679j -0.10784-0.0437621j 0.13786+0.0911152j -0.224396+0.0398559j 0.149919-0.00899022j -0.15458+0.0101968j -0.100829-0.13456j 0.0582055-0.0664785j -0.0806154+0.0971537j 0.0395548-0.0865234j -0.00365114-0.0423119j -0.0381928-0.0449575j -0.0208357+0.00738902j -0.0359031+0.0591128j 0.0350434+0.0605276j 0.00115841+0.0599086j -0.0383219+0.141066j -0.0244264-0.0388814j -0.0290977+0.0552556j 0.0243597-0.0400637j 0.00507454+0.0167788j -0.0236614+0.0339078j -0.00961889+0.00217756j -0.0313702+0.0313127j -0.0133983-0.03588j 0.0136045-0.0610371j -0.0028528-0.0259998j -0.00852634+0.0180121j 0.00676424+0.0011146j 0.00163559+0.0180377j -0.0374013+0.0597792j 0.00449874-0.0532866j 0.0114038-0.0465769j 0.00978177-0.0180532j 0.00090021+0.00715097j -0.00936515+0.00324755j -0.00716708+0.00320355j -0.00982554+0.044103j 0.0150506-0.0449451j 0.0276851-0.0588613j -0.00860914+0.0108727j 0.00903566+0.0094822j -0.00333943-0.0200835j -0.0096938+0.0381759j -0.01083+0.00730365j -0.00370352+0.00340795j 0.02806-0.0233952j -0.00337194+0.00766106j 0.0153038+0.00655738j -0.0115894+0.0169112j -0.0173374+0.0111276j -0.0177601+0.0023962j -0.00397339+0.0172964j 0.000797095+0.0118252j 0.00569995-0.0109929j -0.0113342-0.00573184j 0.0050547-0.0151275j 
-0.0203198-0.0200103j -0.000604067-0.0321791j 0.00412838-0.0221471j -0.009329-0.0559694j -0.00656437+0.0287819j 0.0116903-0.0371365j 0.0103608+0.326335j -0.0122034+0.00967451j 0.0768854+0.0236314j -0.00997933+0.0433854j 0.0246269-0.000873909j 0.0444975-0.0368494j 0.00129572-0.0631701j 0.0937687-0.00643468j 0.0220004-0.0483885j 0.0586552+0.0450976j -0.0231945-0.172218j 0.0124476+0.0253581j 0.0656188-0.0130068j -0.0038016+0.0419755j 0.00717792+0.0541169j 0.0540612-0.10286j 0.0831535-0.299129j 0.0491301+0.0589387j -0.0624568-0.122363j 0.0667577-0.0260169j 0.0383614-0.135384j 0.000497303+0.0751305j 0.0360559-0.10444j 0.00659129-0.104239j -0.02525+0.00366538j 0.00647175-0.109661j 0.0289255+0.0617071j 0.00814453-0.00132221j 0.0018813-0.0033846j 0.030954-0.0304883j 0.0255819-0.0320331j -0.00177582-0.0145301j 0.00923992-0.0492474j -0.00215807-0.00911482j 0.0162405-0.0122764j 0.000668497+0.0352009j -0.000110602+0.0687884j 0.0153736-0.0310263j -0.026106+0.0498033j -0.0251907+0.0346852j 0.0122959+0.00109838j -0.00536264-0.0124937j -0.0126436-0.0120609j 0.018229-0.024742j 0.00475884-0.0442148j -0.0214946+0.0239401j -0.00074485-0.00469936j -0.000259613-0.0124943j -0.00512035-0.0243593j 0.00541655+0.00139072j 0.00180403-0.00634517j 0.00273536+0.0498387j -0.0390636+0.00977426j 0.00294563-0.0145859j -0.00399635+0.0402647j 0.00362367+0.0192362j 0.0255691-0.022052j 0.00437194-0.0370163j 0.00229366-0.017222j -0.00914761+0.00385849j 0.00186718-0.0225179j 0.000133651-0.0147523j -0.00169478+0.00825543j 
-0.00967948-0.0260608j 0.0130011+0.00795592j -0.0217463+0.00670471j 0.0242643-0.00390565j 0.0130659+0.0309761j 0.0168573-0.354985j -8.79656e-05-0.0075718j -0.00617028+0.0368128j -0.00104204-0.0207913j -0.0896335-0.025212j -0.0326863+0.0575182j 0.039109+0.0198708j 0.078543-0.0478562j 0.0254147+0.0123124j -0.0299857+0.0716143j -0.0151893+0.00727479j 0.0742562-0.0123089j 0.0330245-0.0987102j -0.00433598+0.0617078j 0.0165403+0.15896j -0.0174938-0.0379404j -0.0137838+0.130301j 0.104751+0.0655698j -0.00465305+0.097191j 0.121009-0.265738j -0.0188313+0.118364j -0.0242931+0.0975391j -0.0142356-0.0727577j -0.0148156+0.012501j 0.0516373-0.14144j 0.00622677-0.091742j 0.0138343-0.0171334j -0.0364854+0.137394j -0.0246815+0.0110967j -0.00819207+0.00577342j 0.0050164+0.0270102j -0.007676+0.0550879j 0.000852365-0.0167225j 0.0103707+0.0228899j -9.08335e-05-0.0416193j -0.016914+0.0110298j 0.00573483+0.00161713j -0.016712+0.068535j -0.00361093+0.0204912j -0.00805581+0.0015452j 0.00794511-0.0273812j -0.0134388+0.0260716j 0.0057101-0.0252254j 0.0127622-0.0177557j -0.00608489+0.03011j 9.17896e-05+0.0240511j 0.00666051-0.0106633j 0.00524415-0.018677j -0.00336925-0.0503612j 0.00535107+0.0257226j 0.000614958+0.0447626j -0.00364908+0.00186994j -0.0131919+0.0162541j 0.00469077-0.0448086j -0.00727895-0.0037824j -0.000371756-0.0249744j -0.00320989-0.0204054j -0.000135452+0.036695j 0.00452217-0.0137447j 0.00288141-0.00780293j -0.00163424-0.0272235j 0.00060461+0.00415839j -0.00176311-0.000709515j -0.00457068-0.0149417j 
0.00601501-0.00374649j 0.0251985+0.0181205j 0.0213497-0.0379252j 0.0138098-0.00789147j -9.38132e-05-0.372842j -0.00782757-0.0207435j 0.0481892+0.0119192j 0.0160767+0.0370692j -0.0243357+0.0306652j -0.0302608-0.0127427j -0.122719+0.0378917j -0.0128996-0.0268548j 0.0668817-0.0257608j -0.0415472+0.105855j 0.0129706-0.164553j 0.0111704+0.200495j -0.0276986-0.0418853j 0.0134947+0.169877j 0.0406556+0.0278452j -0.0851595+0.175835j -0.00803473+0.0486501j 0.0206068-0.151526j -0.0284424+0.201636j -0.0457309+0.0373578j 0.0173481+0.0764054j 0.0419953+0.0290292j 0.0197622-0.0519192j 0.0243482-0.0610277j 0.0235268+0.0574752j 0.0407648-0.046066j 0.00304891+0.0466854j 0.0171602-0.0341464j -0.0167704-0.0219916j 0.0586891-0.0209308j -0.0318888+0.012969j 0.0249579+0.0440306j 0.0227708-0.031375j 0.0185212-0.0812089j -0.000947618-0.00935816j 0.0143274-0.0520899j -0.00277419-0.0140482j -0.0218138+0.0507897j -0.0135931+0.0399583j -0.00294351+0.020129j 0.00201572-0.0180659j -0.0146001+0.00655552j -0.00041015-0.00101461j 0.0109841-0.00301001j 0.00412218+0.0134223j 0.00964797+0.0885392j -0.00534728-0.0521223j -0.00484207-0.0138261j -0.00382704+0.0234557j 0.00843968-0.0581113j -0.0010627+0.00361653j -0.00995132+0.0158597j -0.00894829+0.0162596j -0.00279554-0.00595633j -0.0032181-0.0157209j -0.00251548-0.0170751j -0.0139895+0.0310225j 0.00170711-0.0184556j 0.0067139+0.00660701j 0.0139025-0.0127149j 0.000494183+0.0234333j -0.00575698+0.00880862j 0.0136289-0.00101639j 0.00843045+6.16085e-05j -0.00148122-0.00423311j 
-0.0619311-0.153284j -0.0742773+0.0566417j -0.0582304+0.0232712j -0.0983979+0.0607871j 0.0314453-0.0406303j 0.100445+0.0235205j -0.0858607-0.0177668j -0.0451222-0.00572014j 0.196298+0.0309889j 0.070183-0.0600236j 0.370823+0.0245724j 0.096448+0.104097j -0.123736+0.0795659j 0.242888+0.0568986j -0.00816808+0.0431217j -0.0690134+0.00937714j 0.0350008+0.0131764j -0.0332076+0.0433144j -0.0290555-0.0182327j -0.0819033+0.0307119j -0.0143668+0.019871j -0.0193658-0.0544958j -0.0277342+0.0809895j 0.0204661+0.0403703j 0.0198507+0.0350458j -0.0228335-0.00349717j -0.0105516-0.0216754j 0.0445667+0.000287818j -0.0230091+0.00636521j -6.60981e-05-0.00806131j 0.00360021-0.0147185j -0.0122848+0.0185754j 0.0338073+0.00842075j 0.0152768+0.00233103j -0.0179053+0.00594609j -0.00338008+0.0163661j -0.0179135-0.0118924j -0.0128502-0.0148763j -0.000712375+0.0131914j 0.00487638-0.0120057j 0.0240671+0.00582085j 0.00641652+0.0152271j 0.0181935+0.00340659j -0.0111706+0.0214931j -0.0266675-0.0103619j 0.0143182+0.00171919j -0.0033413-0.00578955j -0.0489265-0.0102796j -0.0273582+0.0023393j 0.00131431+0.0207689j -0.00394133-0.000771045j -0.029484-0.0205644j -0.0111008+0.00209135j 0.0342251-0.00847616j -0.00342594-0.00231121j 0.0461035+0.0123304j -0.00616653+0.0270647j 0.00304762-0.00819049j -0.00478391-0.0203524j 0.0268905+0.00214148j 0.00404072+0.0169205j 0.0233824-0.00788914j 0.0107787+0.0248399j -0.035239-0.00219241j -0.0197809+0.00852475j -0.00981062-0.0160343j -0.0291846+0.00663269j -0.0301084+0.00271391j 0.000283372-0.0229812j 
0.0796109-0.0626013j -0.0594045-0.146878j 0.0953731-0.0375105j -0.0677424-0.0412888j -0.0924673-0.0431613j -0.0326777-0.0248952j -0.0839564-0.0302205j 0.00559983+0.0187784j -0.128707+0.0316802j 0.299944+0.0128881j 0.0446374+0.128823j -0.294367+0.00246631j -0.277531-0.0754189j -0.0915885+0.070112j -0.0330904-0.0667899j 0.0358846-0.0309619j 0.0741703+0.0116802j -0.0365713-0.0308363j -0.048224+0.0112877j -0.0295625+0.0402412j 0.0220094-0.0385398j 0.0780921-0.00952357j 0.0308508-0.0080906j -0.0355122+0.000771747j -0.00362791-0.0377358j -0.051476+0.0108116j 0.0475166+0.0105538j 0.00881033-0.006973j 0.0199834+0.00519961j -0.00094668-0.0239392j 0.0166248+0.00225486j 0.00189141-0.0210153j -0.011403+0.025598j -0.00900518+0.0116184j -0.00456554+0.0332447j 0.00426205-0.0103168j -0.0109371-0.00503474j -0.0130635-0.00494152j -0.0173592-0.010941j 0.0176774-0.0148006j 0.00485618+0.012483j -0.00902042+0.0114834j -0.0161851+0.000617448j -0.0183848+0.00438758j -0.0174335-0.00599155j 0.00726778+0.0074299j 0.00821303+0.00908582j 0.0119287-0.0264586j 0.0126464-0.0163052j -0.0100726+0.0189332j -0.012302-0.0147961j 0.0242051-0.00354252j -0.00243078+0.00269709j 0.0180477-0.00480747j 0.000385636+0.00803963j -0.0223803+0.0317264j -0.0371266-0.00567963j -0.00277385+0.00120739j 0.0386704-0.008051j -0.00719537+0.0176789j -0.00506159-0.00140062j 0.00799065-0.00168115j -0.0411792+0.0160914j 0.00361075-0.0194081j -0.00339479-0.0112757j 0.0258593-0.0127198j -0.00499256-0.0164809j -0.0037414-0.0218396j 0.0258675-0.000809297j 
-0.0138645-0.0122286j -0.00985425+0.0722967j -0.0317541-0.0270275j -0.00417752-0.376283j 0.0164746-0.0206169j -0.00334657+0.0169196j -0.0310235-0.00986752j -0.00982082+0.00488194j -0.0051376+0.0607359j -0.0207811-0.0484895j 0.0705905+0.0186784j 0.0623738-0.0283637j 2.60695e-05+0.0179886j -0.0171608+0.0604944j 0.0490835-0.301769j -0.093874-0.0278852j 0.0576086-0.0944279j -0.0629248-0.00944678j -0.0678463+0.230336j 0.064+0.0215428j -0.0245105-0.154717j -0.020953+0.0150922j -0.0136954-0.120796j 0.00682364-0.114334j -0.0034414+0.00261383j -0.0216334+0.108454j 0.000462013-0.00783316j -0.0114682-0.0417601j -0.0247887-0.0135578j -0.0229154+0.0711132j 0.00148982+0.0120274j -0.0124762-0.0183781j 0.00737344-0.0384023j -0.0141636+0.03266j 0.0299894+0.0211764j 0.0236923+0.0208009j -0.0164426+0.0608653j -0.00843397+0.0397742j -0.000739517-0.0356117j -0.0145889-0.0158114j -0.00135256+0.0175282j 0.0148593-0.0343323j 0.00809295-0.0226265j -0.00553202-0.00837568j 0.00199568+0.0169726j 0.0107281-0.0335448j 0.000471879+0.0309919j -0.010196+0.0110812j -0.00732218-0.0285027j -0.00994743+0.00292962j 0.00303902-0.0137869j 0.00348823+0.0140037j -0.00124503+0.0110724j 0.000409049-0.00321867j 0.0028475+0.0231278j 0.0138308+0.000686282j 0.00585016-0.0226363j -0.00320696-0.00681704j 0.0142922-0.00236981j 0.00113995+0.0104462j 0.00615741-0.0559691j -0.00237067-0.00146423j -0.00680339+0.0172008j -0.0109488+0.0374166j -0.000276426-0.011431j 0.00170101-0.0159617j -0.00657065+0.017798j -0.00601218+0.0146219j -0.00351699-0.000537996j 
0.0120067-0.0314469j -0.00365208-0.0146038j -0.00150467+0.412185j -0.010018-0.0219424j 0.00406827+0.0398438j -0.0183044-0.0131714j 0.00132678-0.00307804j 0.0414778-0.0207453j -0.0186857+0.068025j -0.00427839+0.0981723j -3.80593e-05-0.0390964j -0.044736-0.0652175j -0.0177002-0.0269385j -0.0240771+0.124286j -0.117978+0.0359506j -0.0352324+0.194021j -0.000940786-0.128415j -0.0219794+0.115193j 0.0327405+0.124673j 0.0595948-0.254644j -0.0615109+0.128572j -0.0118581+0.113359j -0.0366684+0.0182544j -0.0525208+0.0792547j 0.015779-0.0444053j 0.00263494+0.00232793j -0.0163127+0.00415652j -0.0147459+0.0559764j -0.0190929+0.0363278j 0.00711006+0.046129j 0.00453553-0.0383675j -0.0112727+0.0503572j -0.0218529+0.0359058j -0.011262+0.028873j 0.047093+0.00427138j -0.00312657+0.00189313j 0.00431067+0.0241403j -0.000907996+0.0245557j -0.0151084+0.0412537j -0.0122504+0.0521247j -0.00202661-0.00747079j -0.00520178-0.0380863j -0.00472574+0.0448638j -0.00992257-0.0109915j 0.00905325-0.00123716j -0.00156617-0.012082j 0.00565937-0.0203203j 0.00653103+0.00305894j -0.00417832+0.0121327j -0.00882191-0.013771j 7.76081e-05+0.0361331j 0.0179193-0.055023j 0.00393432-0.00254618j -0.00196303+0.0160177j 0.00411975+0.00847336j -0.00495779+0.0174289j -0.0156212+0.00610755j -0.00704854-0.000924098j 0.0115587-0.0548635j -0.00996601+0.00762284j -0.00513658-0.0462942j -0.000594959+0.0394101j -0.00948203+0.0454696j 0.00229177+0.0165572j -0.00040837-0.00379292j 0.00312468-0.011845j 0.00252988-0.0121145j -0.00231653+0.00235874j 0.00317335-0.0135226j 
-0.00863274+0.0108447j 0.00467754-0.435983j -0.0204755-0.000112375j 0.00857458-0.0151497j 0.0319401-0.019481j 0.0291991+0.0323225j 0.01052-0.0972458j -0.0062081-0.0287645j 0.0609018+0.0554358j -0.081622+0.216034j 0.0324957+0.303711j 0.0942453-0.0957411j 0.0633981-0.252033j 0.0511338+0.116136j 0.00759036-0.0306436j -0.0153379-0.0459565j -0.0129403+0.0847032j 0.00890203-0.0541023j 0.0113901-0.0656314j 0.00448122-0.0394274j -0.00679552-0.0112659j -0.022198+0.0145885j -0.00226421+0.00612065j 0.0138153-0.00840593j 0.00220867+0.0122821j 0.0102431-0.0506306j -0.0122644+0.0131867j -0.000279742+0.0321133j -0.00609506-0.00859174j -3.97186e-06-0.0118043j -0.00649966+0.0132368j 0.00185975-0.0127864j 0.00641733+0.0151074j -0.00406571-0.00755832j -0.0261353-0.00780838j 0.0117992-0.00817126j 0.00216264-0.0246467j 0.00180891-0.0209571j 0.00563313-0.0129592j -0.00508221+0.00666182j 0.00359241+0.0281011j 0.00259313+0.00633363j 0.00551268+0.00333177j 0.00637955-0.017237j -0.00138215-0.0345255j -0.00333786+0.0130014j -0.000694882+0.010362j -0.00664178-0.0314286j -0.00699997-0.0204253j 0.00541465-0.00707755j 0.000863051-0.015035j -0.0111962-0.00932378j -0.00333754-0.0118206j 0.000930107+0.0429681j -0.0024074-0.00671985j 0.00550646+0.0208572j 0.0139769-0.0182786j 0.0050116+0.00315843j -0.0062828+0.0320928j 0.00739904+0.0208532j 0.00383476+0.00740406j -0.000405631+0.0228869j 0.00674909-0.0263724j -0.00306856-0.0275174j 0.000137046-0.0172332j -0.00322237+0.0140181j -0.000434287-0.0253721j 0.00103916-0.0215068j -0.00255043+0.0197604j 
0.00516586-0.433878j 0.0061043-0.0132937j 0.00575944+0.0127301j 0.0214893+0.000689744j 0.00701101+0.0531954j -0.0218117+0.0648769j 0.0396997+0.0051808j 0.0120155-0.03869j -0.0436169+0.202281j -0.0570621-0.162076j -0.111594+0.181295j 0.00313281+0.274516j 0.0646539+0.132214j -0.0571592+0.203793j 8.86109e-05+0.0569893j 0.0156596-0.0749324j -0.0135372-0.018745j 0.0169016+0.00172576j 0.0127144+0.000476448j 0.0207406-0.039878j 0.00119516-0.0112781j -0.00327353-0.057578j 0.00628113-0.0279098j -0.00677037+0.0503416j 0.00464182+0.0201827j 0.00826167+0.0133392j -0.00494573-0.0403193j -0.0102655+0.0205281j 0.00179394-0.0360438j 0.00387793-0.00141289j -0.00150015-0.0176403j 0.00368302-0.00232161j -0.0123404+0.0279237j -0.00413725+0.00312742j 0.0282881-0.00927948j -0.0212372+0.00138581j 0.00589017-0.00235237j 0.00182901+0.00192723j 0.000667014+0.0215252j -0.000696089-0.0108031j -0.00647767+0.00639852j -0.00439567+0.0135053j -0.00237816+0.0310119j 0.00209019-0.00221533j 0.0069213-0.00897634j -0.00558541-0.000788761j -0.00121262-0.0141214j 0.0145231-0.0369313j 0.00585942-0.027781j -0.000993712-0.00357214j 0.00689856+0.0176245j 0.00574204-0.0391777j 0.0037412-0.00712819j -0.00923972+0.00712922j -0.00266202-0.00564333j -0.0133483+0.0439791j 0.00076426+0.0294461j 0.00251191+0.0127444j -0.0079036-0.0404365j -0.00552956+0.0247136j 0.00180601+0.00969902j -0.00357225+0.0141976j 0.000987269+0.0393558j 0.00576728-0.0296904j 0.0030654-0.0121297j 0.000679054-0.0242667j 0.00394416-0.0206884j 0.00348331-0.018889j 0.000815506-0.0148843j 
